Gene	Hits	Length
MIR374B	0	72
MIR216B	0	82
MIR920	0	75
MIR922	0	81
MIR934	0	83
MIR935	0	91
MIR936	0	98
MIR940	0	94
MIR941-1	0	229
MIR942	0	86
MIR943	0	94
MIR708	0	88
MIR885	0	74
MIR543	0	78
MIR208B	0	77
MIR937	0	86
MIR944	0	88
MIR891A	0	79
MIR892A	0	75
MIR874	0	78
MIR889	0	79
MIR760	0	80
MIR933	0	77
MIR365A	0	87
SNAR-G1	0	128
NAV2-AS6	0	3739
EGOT	1	2397
GHRLOS	0	14229
SNAR-A1	0	15874
SNAR-A12	0	37366
MINAR2	0	16873
SLCO4A1-AS1	0	3595
NA	3	30694
C8orf88	1	26780
DPPA2P3	0	1145
WWTR1-AS1	0	3153
PLCE1-AS1	0	7781
FAM229A	0	974
LOC100128076	1	5796
JAZF1-AS1	4	60921
HGC6.3	0	1016
STAU2-AS1	1	21445
UST-AS1	1	10424
TMPO-AS1	0	3254
LINC02731	3	9070
HTR5A-AS1	0	4489
LOC100128288	0	2129
DLG5-AS1	0	3014
TRAPPC3L	6	49123
NA	0	12198
LOC100128361	0	2486
LINC00696	0	3019
FAM225B	0	6955
LOC100128398	0	4313
LINC00892	0	2887
SCP2D1-AS1	0	20468
ASTN2-AS1	4	58011
KIAA1671-AS1	0	10276
LINC02347	3	30305
RANBP3-DT	0	41961
TEKTIP1	0	4874
NA	0	525
SLC8A1-AS1	26	337576
LOC100128593	0	3751
CDC42P3	0	1836
HPN-AS1	0	47246
LINC01531	0	11234
LINC02346	7	150761
RBPMS-AS1	1	3283
LOC100128770	0	6652
ERCC6L2-AS1	8	69890
LINC01349	0	19955
SRRM2-AS1	0	15525
GPR158-AS1	3	18205
LINC01003	1	1422
VPS9D1-AS1	0	6310
LOC100128885	0	43895
FAM66B	7	69144
GATA6-AS1	0	2071
ZBTB42	0	4116
LOC100128993	4	61847
PCBP3-AS1	1	8579
LOC100129034	0	5712
BCAR3-AS1	0	8063
CCNYL4	2	38675
LOC100129066	5	79977
KTN1-AS1	0	22121
SIGLEC10-AS1	0	1520
KHDC1L	0	1908
LOC100129138	0	4049
LOC100129175	0	13508
ZSCAN16-AS1	9	46641
MATN1-AS1	0	7975
SLC39A12-AS1	0	8777
DEFB131B	0	6109
CXorf51A	0	628
SMIM27	0	15717
LINC01160	0	9312
NRADDP	0	1926
SMIM10L1	1	4840
LINC03041	5	72379
FAM106C	0	1759
DDC-AS1	2	11705
DPY19L1P1	3	138228
LINC01546	1	12834
MKRN2OS	0	5684
ZNF37BP	1	39320
ETDB	0	1524
SOD2-OT1	0	2074
TEX13C	0	2982
LINC02035	0	5904
FAM47E	4	69744
LINC00462	0	3928
LOC100129617	0	1921
PLPPR5-AS1	10	144577
TCF24	1	16090
FGF13-AS1	0	4495
IZUMO3	1	2462
ARRDC3-AS1	0	40369
LINC01126	0	1645
CCDC152	5	45620
SLC25A21-AS1	0	1768
ZNF737	2	27829
PCOLCE-AS1	0	14638
SCOC-AS1	6	89667
PCGF3-AS1	0	1700
TMEM269	0	10241
LOC100129931	0	15678
LOC100129935	0	3717
CCNT2-AS1	7	51974
CERNA1	4	25854
HDAC6	1	23094
NA	0	27051
URAHP	0	8023
FTLP10	3	30179
NA	0	5816
MIR124-2HG	0	10068
EFCAB14-AS1	2	18062
LINC00861	1	28675
SLC24A3-AS1	7	42295
CCDC166	0	1416
TFAP2A-AS1	0	3852
LOC100130298	0	1628
C8orf89	0	18079
SUPT20HL1	0	2664
C17orf107	0	3280
LOC100130331	4	66145
SCGB2B3P	0	180
TMEM262	0	699
LOC100130357	1	16292
LINC03048	0	9462
LINC00552	0	2579
LINC02593	1	1865
CECR7	0	22223
GPC1-AS1	0	7282
SPAG16-DT	1	7653
LOC100130452	0	12378
WAKMAR2	5	44564
LINC01387	4	79238
TMEM221	0	13059
LINC02881	0	1900
NFYC-AS1	1	3182
LINC00910	0	19054
LOC100130691	6	109178
TP53TG3HP	0	1382
ATP6V1FNB	0	5638
HDHD5-AS1	0	6057
LRRC70	0	2714
EFCAB10	1	16397
AGAP2-AS1	0	2117
SBK3	0	4887
LOC100130849	0	6762
USP3-AS1	1	13118
LOC100130872	0	13180
CREB3L2-AS1	0	4619
TSTD3	4	64215
VAC14-AS1	1	18192
SMIM6	0	1412
CSAG4	0	7207
ZNF594-DT	1	43553
LINC01502	0	12188
SYCE1L	0	13628
LOC100130964	4	17023
LINC02901	2	21767
LOC100130987	0	73849
SPATA48	2	63171
LOC100130992	1	6477
DNAH8-AS1	2	46613
LINC01135	8	114562
CKMT2-AS1	4	64005
SRP14-DT	0	28199
DPP9-AS1	0	6667
NA	0	4398
ZBTB20-AS1	5	37168
BSPH1	2	24125
WDR86-AS1	0	3811
TSTD1	0	1353
CCDC183-AS1	1	4922
SNAP25-AS1	13	195695
NEMP2	1	27850
MIR181A1HG	7	129427
LOC100131289	0	1444
RAB6C-AS1	1	13881
RDM1P5	1	51337
LINC00605	0	1808
C11orf91	0	2633
SP9	0	2448
EOLA1-DT	0	13373
CD300LD	0	12260
DBIL5P	0	3004
LOC100131496	0	2253
LINC00887	1	13170
CCDC18-AS1	3	35703
LOC100131626	3	37596
ZNF236-DT	1	27564
MZF1-AS1	1	15612
FAM83A-AS1	0	1572
USP30-AS1	0	1925
ARMCX4	1	13791
PET100	0	1840
AHI1-DT	10	218255
UBE2DNL	0	740
CADM3-AS1	1	6438
ZNF717	0	75877
INSYN2B	7	117026
ZNF705G	0	4993
RRN3P3	1	18170
LOC100132077	0	28473
LOC100132078	0	3945
HERC2P7	0	3222
FAM66E	5	53743
C2CD4D-AS1	0	5697
FAM240A	1	14109
PHKA2-AS1	0	4680
EHBP1-AS1	0	4557
NPIPB5	1	44780
NDUFA6-DT	1	45766
KIR2DS2	5	30647
TEKT4P2	4	61405
FRG1HP	4	40761
LOC100132356	0	1785
KRTAP4-9	0	1100
ZNF705B	0	26077
GAGE12D	6	55149
FCGR1CP	0	9004
CLDN24	0	663
FAM99B	0	2360
KRTAP4-7	0	938
FGD5P1	0	3892
XGY2	2	35339
ZRANB2-AS1	2	20677
PAXIP1-AS2	1	20970
CYP4F30P	1	11640
DCAF13P3	0	2437
FILNC1	14	89399
KDM4A-AS1	0	7657
LOC100132781	0	3329
PMS2P9	1	13559
MSC-AS1	21	213190
DPH3P1	0	1068
FAM27C	0	1257
SMIM9	1	11315
LINC00856	15	302731
GUSBP19	0	8750
CXorf51B	0	628
LINC03009	3	78642
FAM27B	0	1261
LINC01203	0	6585
NA	24	437444
LINC01001	0	12166
FAM66A	5	60443
LINC00240	9	66982
SBF1P1	0	6125
CBR1-AS1	5	56999
RSU1P2	3	55121
HOXA-AS3	1	15565
NA	0	2288
LINC02171	0	4263
MRPL23-AS1	0	6712
LINC01134	1	16912
LY6E-DT	1	36360
LOC100133920	1	13589
CD24	0	2180
UXT-AS1	0	1545
LINC01816	0	1281
UBOX5-AS1	2	43957
KDM7A-DT	0	2380
LOC100134317	0	1326
LOC100134368	0	10720
NDUFB2-AS1	0	1742
UBE2Q2P2	24	437056
JMJD7	0	12146
PLA2G4B	0	11368
HDAC5	1	46894
C17orf99	1	19931
LOC100144595	3	21586
LINC00029	0	2812
EPHA5-AS1	2	23426
CHKB-DT	0	901
LINC00930	0	4446
PDCD6IP	3	71137
RNU6ATAC	0	125
SCARNA9L	0	348
TEX36-AS1	0	4075
PATE3	0	3490
DBIL5P2	0	1692
BCL2L10	0	3151
SNAR-C4	0	120
SNAR-H	0	120
SNAR-I	0	121
SNAR-C3	0	119
SNAR-D	0	119
SNAR-G2	0	119
SRRM5	0	2398
ERICH4	0	1608
EPOP	0	3229
BCL2L11	1	47532
MIR1224	0	85
MIR1225	0	90
TOMM6	0	3457
HECTD2-AS1	21	304499
LINC00426	2	33630
LINC00092	0	2024
DNMBP-AS1	3	31790
DCTN1-AS1	0	8164
SH2B3	2	45676
RAMP2-AS1	0	7329
TPT1-AS1	2	50139
C5orf52	0	8602
LOC100190986	0	2432
C2CD4D	0	2695
PPIAP30	0	626
ZFHX4-AS1	6	72397
PP12613	0	2224
FLJ16779	1	7638
CDH4	16	688192
GNE	5	62615
HCN4	3	49406
FAR2P2	1	11794
KMT2E-AS1	0	3600
INSL5	1	3519
FRAT1	0	2651
LOC100233156	3	58669
PCED1B-AS1	1	8024
TROAP	0	8544
LOC100240734	0	491
LOC100240735	0	2985
MED16	0	25257
PIGK	9	130466
RPL26L1-AS1	1	4586
LINC01432	0	20565
LOC100270746	0	941
LCDR	0	2017
LINC00940	0	7375
ARHGEF33	2	56087
LINC00899	0	4962
SMG1P3	3	116568
ERVV-2	0	6390
MEF2B	0	24723
AIRN	1	4374
CMC4	0	9648
NA	0	2049
EOLA2-DT	12	286050
NA	5	96949
BCDIN3D-AS1	0	12612
LOC100286922	0	1030
VPS13A-AS1	1	1162
ANAPC1P1	1	33218
LOC100287010	1	29483
MCPH1-DT	1	2993
DDX11L10	0	2536
LOC100287036	0	3978
MIF4GD-DT	0	2597
LOC100287072	0	25420
DDX11L1	0	2536
LINC00421	0	1701
USP17L10	0	1593
WASHC1	0	15229
EML2-AS1	0	1188
USP17L11	0	44312
USP17L12	0	44313
SH3RF3-AS1	0	2792
LINC01630	10	170428
ZNF729	2	30727
TIPARP-AS1	0	2543
MANSC4	0	8611
LINC00941	1	7031
USP17L17	0	1593
PRSS46P	2	16849
USP17L19	0	1593
USP17L20	0	1593
NA	0	2075
SMKR1	0	10454
ADPGK-AS1	0	15365
LINC00173	0	3092
DDX11L5	0	2539
LOXL1-AS1	0	10781
SELENOKP3	0	711
MTHFD2P1	3	28771
ANKRD66	1	12301
LINC00630	3	116244
LOC100287792	0	6325
LOC100287846	0	3510
TTC34	1	133424
LGALS8-AS1	0	1440
TIMM23	2	31306
LOC100287944	18	278422
LOC100288069	0	13824
WTAPP1	2	53091
NBPF20	175	2320934
LNCOC1	0	24722
KRTAP22-2	0	293
LMCD1-AS1	17	307409
IL10RB-DT	0	629
MTRNR2L7	0	1494
REXO1L2P	2	190934
LOC100288637	6	126893
PAN3-AS1	0	2332
LINC02894	0	2183
WASH8P	0	17384
TMEM239	0	2172
B3GALT9	1	5235
MIA2-AS1	0	1359
CRIM1-DT	0	822
LOC100288966	2	31333
BMS1P21	5	26921
MOXD2P	0	6331
SLC25A25-AS1	0	7564
ATP2A1-AS1	0	965
FAM95C	1	36696
FAM197Y5	4	114806
GNG12-AS1	23	370700
TMEM225B	0	12555
LOC100289230	0	1876
TMEM238L	3	9187
UBAC2-AS1	0	4384
KCTD21-AS1	1	34185
LOC100289473	0	6382
LOC100289495	0	8839
KCNIP2-AS1	0	9822
LOC100289561	2	32462
LOC100289656	0	1150
LINC01848	0	2318
ZNF783	0	22824
LINC00942	0	3934
ZNF587B	1	26508
RNF213-AS1	3	63338
NHEG1	2	11073
CDH5	2	38165
MIR1284	0	120
MIR1200	0	76
MIR1468	0	86
MIR1265	0	86
MIR1538	0	61
MIR1276	0	83
MIR1275	0	80
MIR1288	0	75
MIR1471	0	57
MIR1470	0	61
MIR1915	0	80
MIR302F	0	51
MIR1182	0	97
MIR1287	0	90
MIR1289-2	0	111
MIR320C1	0	88
MIR1252	0	65
MIR1914	0	80
MIR1292	0	66
MIR1537	0	61
MIR1913	0	80
MIR1247	0	136
MIR1249	0	66
MIR1296	0	92
MIR548N	10	294205
MIR1256	10	216844
MIR1229	0	69
MIR1185-1	0	85
MIR1231	0	92
MIR1205	0	63
MIR1278	0	81
MIR2113	0	89
MIR1322	0	71
MIR1257	0	117
MIR320D2	0	48
MIR1206	0	59
MIR1258	0	73
MIR1307	0	149
MIR1207	0	87
MIR1295A	0	79
MIR1270	1	69242
MIR1279	0	62
MIR1272	0	129
MIR1204	0	67
MIR548I3	0	149
MIR1297	0	77
MIR1243	0	93
MIR1976	0	52
MIR548I4	14	263621
MIR548F1	24	416789
MIR320C2	0	50
MIR1228	0	73
MIR1266	0	84
MIR548I1	0	149
MIR1283-2	0	87
MIR1253	0	105
MIR1185-2	0	85
MIR1203	0	85
MIR1324	0	96
MIR1181	0	81
MIR1277	0	78
MIR1827	0	66
MIR1245A	0	69
MIR1293	0	71
MIR1911	0	80
MIR2110	0	75
MIR2053	0	91
MIR1238	0	83
MIR1250	0	113
MIR1226	0	75
MIR1179	0	91
MIR1260A	0	73
MIR1281	0	54
MIR103B1	0	62
MIR548F5	31	467457
MIR1304	0	91
MIR1301	0	82
MIR1197	0	88
MIR1264	0	69
MIR1282	0	101
MIR1323	0	73
MIR1539	0	50
MIR1469	0	47
MIR2052	0	55
MIR1910	0	80
MIR1908	0	80
MIR1178	0	91
MIR548I2	0	149
MIR1262	0	93
MIR1237	0	102
MIR1208	0	73
MIR103B2	0	62
MIR1227	0	88
MIR1973	0	44
RASAL2-AS1	0	2486
LINC00882	20	403828
BABAM2-AS1	0	1659
FTX	13	265439
TMED7-TICAM2	2	47538
PCNA-AS1	0	384
FAS-AS1	0	1552
SNORA80B	0	136
NCRUPAR	0	486
TSNAX-DISC1	28	512621
ZEB2-AS1	0	1285
SLC25A5-AS1	0	3088
LOC100303749	1	769
PITPNA-AS1	0	1178
NDUFAF4P1	1	2328
MIR320B2	0	138
MIR548K	0	116
MIR548F2	0	98
MIR548M	0	35
MIR759	0	91
MIR663B	0	115
MIR762	0	83
MIR764	0	85
MIR2114	0	80
MIR548Q	14	195212
MIR2276	0	89
MIR711	0	76
MIR548H4	20	373560
MIR2116	0	80
MIR2277	0	93
MIR761	0	59
MIR548F4	0	105
MIR320D1	0	48
MIR548J	0	112
MIR449C	0	92
MIR548G	43	443907
HOTTIP	0	6091
SAP25	0	1418
GCSHP3	0	1000
TRPC5OS	1	27935
LOC100335030	0	3160
SNORA70F	0	135
CSN1S2BP	0	13101
LINC00102	0	2357
CHAF1A	0	40735
SNORA70G	0	142
MACROD2-AS1	0	45263
TMED11P	1	7968
BOK-AS1	0	14758
SNORA70E	0	135
NPPA-AS1	0	7299
MIR181A2HG	2	40193
GRIK1-AS2	3	34708
PARP2	0	14291
ZBED6	1	2940
PARP3	1	6523
CDH6	13	135492
TOM1L1	7	61277
ZNF33BP1	0	1238
HMGXB4	3	38356
MIR4300	0	96
MIR3128	0	66
MIR4319	0	85
MIR3188	0	85
MIR3183	0	84
MIR3119-1	0	85
MIR3074	0	81
MIR1233-2	11	146303
MIR514B	0	80
MIR4316	0	71
MIR3182	0	63
MIR3187	0	70
MIR4301	0	66
MIR3123	0	75
MIR4318	0	81
MIR4285	0	85
MIR3136	0	78
MIR4292	0	67
MIR4306	0	91
MIR4265	0	99
MIR4320	0	65
MIR3115	0	68
MIR378C	0	81
MIR4270	0	70
MIR3152	0	74
MIR4297	0	76
MIR3192	0	77
MIR3148	0	77
MIR3202-2	0	79
MIR3124	0	67
MIR3170	0	77
MIR3120	0	81
MIR4325	0	90
MIR4280	0	76
MIR3194	0	73
MIR4327	0	85
MIR3157	0	85
MIR4260	0	67
MIR4294	0	76
MIR4255	0	72
MIR3190	0	80
MIR4288	0	67
MIR3193	0	55
MIR4311	0	100
MIR3156-2	0	77
MIR3129	0	76
MIR4295	0	85
MIR500B	0	79
MIR3200	0	85
MIR320E	0	53
MIR4253	0	68
MIR3065	0	79
MIR3201	0	52
MIR3167	0	85
MIR548X	0	30
MIR4303	0	66
MIR4322	0	73
MIR4291	0	65
MIR3127	0	76
MIR4261	0	58
MIR4330	0	105
MIR4304	0	62
MIR4328	0	56
MIR3143	0	63
MIR3153	0	82
MIR4275	0	87
MIR3142	0	82
MIR3147	0	66
MIR4305	0	102
MIR4272	0	64
MIR3189	0	73
MIR3186	0	85
MIR4326	0	59
MIR3122	0	73
MIR4284	0	81
MIR3141	0	61
MIR4271	0	67
MIR3165	0	75
MIR4309	0	83
MIR3131	0	63
MIR4268	0	64
MIR4281	0	62
MIR4277	0	84
MIR3146	0	79
MIR4251	0	61
MIR2909	0	69
MIR3178	0	84
MIR4252	0	63
MIR3185	0	68
MIR4324	0	72
MIR3173	0	68
MIR4314	0	92
MIR4308	0	81
MIR3125	0	78
MIR3202-1	0	81
MIR1260B	0	89
MIR3151	0	76
MIR3130-1	0	75
MIR4267	0	82
MIR3175	0	77
MIR4262	0	54
MIR4257	0	86
MIR3199-2	0	86
MIR4278	0	69
MIR3130-2	0	75
MIR3184	0	75
MIR4282	0	67
MIR4329	0	71
MIR3138	0	82
MIR3177	0	82
MIR4310	0	57
MIR3196	0	64
MIR4289	0	70
MIR3156-3	0	77
MIR4307	0	84
MIR4258	0	91
MIR4298	0	73
MIR3197	0	73
MIR3198-1	0	80
MIR4299	0	72
MIR4266	0	55
MIR4254	0	76
MIR3126	0	74
MIR4321	0	80
MIR3121	0	77
MIR3199-1	0	88
MIR4313	0	101
MIR2355	0	87
MIR3176	0	90
MIR3132	0	75
MIR4269	0	84
IGLL5	0	8054
TOM1	1	48720
KLRF2	2	14345
SH2D3C	0	40453
SH2D3A	0	15351
MAMLD1	4	152613
MICOS10P1	0	2279
MTRNR2L1	0	1555
MTRNR2L2	0	1036
MTRNR2L3	0	1383
MTRNR2L4	0	1231
MTRNR2L5	0	1738
MTRNR2L6	0	1395
MTRNR2L8	0	1290
MTRNR2L10	0	1121
CST8	1	4890
RANBP9	1	90067
DNAJB6	2	80424
LINC00881	0	11255
THAP9-AS1	0	7465
BAALC-AS1	7	120399
LINC02992	0	2316
USP2-AS1	7	144887
LINC00987	0	3047
LINC00674	1	34375
LINC00673	7	189481
CCDC180	5	69975
SUGT1P4-STRA6LP	5	58889
LINC03027	0	2505
CDH7	10	130688
SLC17A4	2	26477
SRSF3P2	0	1364
MIR3659	0	99
MIR3685	0	62
MIR3919	0	89
NA	0	79
MIR374C	0	70
MIR3917	0	93
MIR23C	0	100
MIR3620	0	79
MIR3621	0	85
MIR3677	0	60
MIR3646	0	84
MIR3616	0	92
NA	0	61
MIR3649	0	66
MIR3612	0	87
MIR3945	0	98
MIR3609	0	80
MIR3910-1	0	111
MIR3920	0	86
MIR3650	0	60
MIR3660	0	100
MIR3909	0	119
MIR3614	0	86
MIR3619	0	83
MIR3943	0	100
MIR3912	0	105
MIR3658	0	56
MIR3924	0	81
MIR3606	0	63
MIR3926-2	0	63
NA	0	69
MIR3678	0	94
MIR3652	0	131
MIR3922	0	84
MIR3664	0	99
MIR642B	0	77
MIR3689A	0	1470
MIR3615	0	87
MIR3916	0	94
MIR3682	0	84
MIR3918	0	93
MIR3180-4	0	153
MIR3605	0	100
MIR3671	0	88
MIR548Z	0	97
MIR3939	0	106
MIR3622A	0	83
MIR3921	0	85
MIR3618	0	88
MIR3665	0	105
MIR3648-1	0	180
MIR3941	0	103
MIR3684	0	74
MIR3913-2	0	100
MIR3926-1	0	73
MIR3911	0	109
MIR3938	0	103
MIR3679	0	68
MIR3688-1	0	93
MIR550B1	0	97
MIR3925	0	77
MIR676	0	67
MIR3940	0	102
MIR3935	0	104
NA	0	85
MIR548AA2	2	73761
MIR3691	0	90
MIR3928	0	58
MIR3910-2	0	79
MIR3913-1	0	102
MIR3942	2	109
MIR3661	0	96
MIR3150B	0	86
MIR3613	0	87
MIR3908	0	126
MIR3944	0	108
MIR3714	0	65
MIR3610	0	73
MIR3180-5	0	153
MIR548Y	0	110
CCDC179	0	13505
IQCJ-SCHIP1	54	828115
LINC01539	1	54181
TEX48	1	15656
PCAT19	5	46481
NA	24	388048
ISM1-AS1	0	2268
RBM26-AS1	4	18025
LINC01095	2	12459
ATP8B1-AS1	8	107743
LINC00578	17	310784
LINC00672	1	4217
LINC00838	0	12968
LRRC3C	0	3261
LINC00919	1	2045
POU2F2-AS1	0	4471
GTF3C2-AS1	1	2262
MALINC1	0	5091
FGD5-AS1	4	28092
RAD51-AS1	0	1351
DIAPH1-AS1	1	6950
DCST1-AS1	0	18800
RRS1-DT	1	9391
STARD4-AS1	15	227500
UBE2Q2P16	1	9744
NAPA-AS1	1	17316
LINC00888	4	8405
NA	0	7154
SH3BP5-AS1	0	10315
LINC01094	3	38508
LOC100505715	1	10000
LOC100505716	0	2769
LINC01592	16	192388
KRTAP9-7	0	510
MIR4458HG	0	5410
ITGB2-AS1	1	8646
C10orf95-AS1	0	6477
LINC01364	1	18129
OSER1-DT	0	15068
PBX1-AS1	1	5526
LINC02582	2	24949
STK4-DT	1	2660
LINC01532	0	11401
SH3PXD2A-AS1	0	8631
ROPN1L-AS1	0	1117
APTR	1	38690
LINC00920	0	2377
LINC01088	17	337052
CEBPZOS	0	8252
MAGI2-AS3	0	18252
SLIT2-IT1	0	2668
TMEM161B-DT	9	167793
LOC100505912	2	12300
LINC01549	1	10296
ADD3-AS1	5	62823
LINC01304	3	16378
LINC00645	2	27049
ENO1-AS1	0	1050
SMIM31	3	49665
APELA	3	20521
LOC100506023	14	242096
PTOV1-AS1	0	13031
LINC00989	6	83868
GAS5-AS1	0	694
LRRC72	2	54610
LINC01005	0	5685
RNASEH1-DT	0	3365
SMG1P7	0	6453
DACT3-AS1	0	17093
RBFADN	0	32307
LOC100506071	0	13630
LINC02749	1	15502
ZDHHC12-DT	0	8782
LINC02431	4	18559
NA	3	42682
TMEM35B	0	3822
LINC01568	0	34592
LINC00963	0	30236
LARGE-AS1	2	25832
LOC100506207	28	349823
MIR210HG	0	2801
PAXBP1-AS1	1	15009
LINC01093	1	6462
RAB30-DT	0	1647
LL22NC01-81G9.3	0	2925
KRBOX1	0	6450
LOC100506274	2	28990
LINC00958	0	10015
HOTAIRM1	0	4165
GPRC5D-AS1	0	4806
LINC00649	4	39972
INKA2-AS1	1	7958
FZD4-DT	2	45327
PHACTR3-AS1	0	1826
LINC01426	2	39047
RPH3AL-AS1	0	2284
LINC02398	4	84184
LOC100506403	24	208423
ELOVL2-AS1	2	35387
LINC00871	34	437743
PANTR1	3	46052
LOC100506422	5	51734
CBR3-AS1	0	24542
SPAG5-AS1	2	18245
RASSF8-AS1	1	14586
SRD5A3-AS1	1	21608
TMEM147-AS1	0	5292
LOC100506474	2	40231
EGFLAM-AS2	1	3658
DSCAM-AS1	0	2276
CPVL-AS2	1	33403
NA	1	33917
SPTY2D1OS	1	10452
NA	2	3880
NECTIN3-AS1	1	24644
THEGL	5	72715
C16orf95	0	14623
PPP1R26-AS1	0	9531
NA	22	297288
LOC100506639	1	26536
PXN-AS1	1	11538
LINC02876	0	2133
LCMT1-AS2	0	8462
OCLN	3	65813
DDX11-AS1	2	53085
NRAV	0	5609
AA06	0	3974
SACS-AS1	0	9899
IQCH-AS1	5	118234
LINC02982	0	9031
PCAT6	0	968
LINC00327	2	17953
EBLN3P	0	10506
ALOX12-AS1	1	27212
NUP50-DT	4	30024
LOC100506730	0	2490
FAM170B-AS1	1	29709
SLFN12L	0	62774
CASP12	1	12953
AFF1-AS1	0	9957
MIR497HG	0	3837
LINC00629	1	10375
OR7E37P	0	1203
IGSF11-AS1	1	5166
TRG-AS1	0	37061
TSPOAP1-AS1	1	28278
HOXD-AS2	0	2258
LINC01354	0	3889
ECE1-AS1	1	6580
TMEM30A-DT	0	6851
LINC01132	2	7602
GAS1RR	2	53336
LINC00840	1	36023
IQCF4P	0	2033
GIHCG	0	4716
TTN-AS1	3	97391
LINC00933	0	9533
ELOA3DP	0	7804
MAGOH2P	0	640
LINC00665	0	18658
ELOA-AS1	0	17916
FAM86B2-DT	23	451064
GFY	0	2388
MRLN	3	16456
PITRM1-AS1	0	7029
TUNAR	1	48800
TPBGL	0	2800
LOC100507053	9	212506
LRCOL1	0	7302
MELTF-AS1	0	1839
PSMD6-AS2	1	8220
TEX26-AS1	4	49774
CLIP1-AS1	1	4403
DLG1-AS1	0	5504
PITPNM2-AS1	0	3361
GIMD1	0	9253
PRC1-AS1	0	22256
LINC00707	4	63309
SPART-AS1	0	23305
LINC01792	2	22873
BOLA3-DT	0	4409
LINC01012	1	16188
SLFNL1-AS1	4	29301
LINC02525	1	12950
SMLR1	2	9732
RNF157-AS1	1	14093
VWA8-AS1	1	20397
MAMDC2-AS1	0	22755
SNHG16	1	7585
LOC100507250	0	12489
MEG9	0	3026
STX18-AS1	7	168807
SMC5-DT	2	64877
ERVK13-1	0	15051
LOC100507334	1	20921
SMIM18	0	7353
LOC100507346	0	6411
ADGRL1-AS1	1	34112
LINC02882	19	159456
LOC100507384	0	2249
NA	0	12710
LOC100507389	0	15862
LINC01968	2	73748
SENCR	1	4352
LRP4-AS1	1	28006
MKNK1-AS1	0	31560
NA	0	22980
ZNF571-AS1	4	38398
LOC100507443	2	37634
DPH6-DT	27	312807
GRID1-AS1	2	29485
LOC100507472	0	2054
LINC01277	7	71161
SDCBP2-AS1	1	53393
STRIT1	1	3469
EPM2A-DT	15	151717
MAGOH-DT	0	4174
RAB11B-AS1	0	16316
NA	0	7315
BHLHE40-AS1	7	83154
LINC01016	1	7397
TGFBR3L	0	2949
NAGPA-AS1	0	9266
LCT-AS1	1	2897
TRIM52-AS1	0	11096
LINC00837	0	6740
KRTAP9-6	0	483
LINC00658	1	13792
LOC100507634	0	2048
LINC01606	2	13741
CPB2-AS1	1	48500
SMC4	1	35312
GJC1	1	32364
LY75-CD302	19	136129
ARPC4-TTLL3	3	62591
CENPS-CORT	0	21902
ABHD14A-ACY1	0	14177
CCDC169-SOHLH2	8	129648
RNF103-CHMP3	11	217693
