seqnames	start	end	width	strand	gene_id	gene_symbol
chr2	69747177	69747303	127	-	100124535	SNORA36C
chr17	65736786	65736917	132	+	100124536	SNORA38B
chr2	61644379	61644512	134	-	100124537	SNORA70B
chr9	119943345	119943480	136	-	100124538	SNORA70C
chr14	91592770	91592896	127	+	100124539	SNORA11B
chrX	47248049	47248175	127	+	100124540	SNORA11C
chr12	54356092	54368740	12649	-	100124700	HOTAIR
chr19	10415479	10420233	4755	-	100125288	ZGLP1
chr3	125635444	125648867	13424	+	100125556	FAM86JP
chrX	146990949	147003676	12728	-	100126270	FMR1-AS1
chr20	57393281	57393368	88	-	100126296	MIR298
chr14	101507700	101507781	82	+	100126297	MIR300
chr5	135416187	135416286	100	-	100126299	VTRNA2-1
chrX	133674215	133674292	78	-	100126302	MIR450B
chrX	145075793	145075869	77	-	100126303	MIR890
chrX	145082571	145082649	79	-	100126304	MIR891B
chrX	145076302	145076378	77	-	100126306	MIR888
chrX	145078716	145078792	77	-	100126307	MIR892B
chr14	101530832	101530915	84	+	100126308	MIR541
chr8	100549014	100549089	76	-	100126309	MIR875
chr9	28863624	28863704	81	-	100126310	MIR876
chr15	45725248	45725327	80	+	100126311	MIR147B
chr17	11985216	11985313	98	+	100126313	MIR744
chr14	101341370	101341441	72	+	100126315	MIR665
chr9	28888877	28888953	77	-	100126316	MIR873
chrX	73438382	73438453	72	-	100126317	MIR374B
chr22	22007270	22007347	78	+	100126318	MIR301B
chr2	56227849	56227930	82	-	100126319	MIR216B
chr12	24365355	24365429	75	+	100126320	MIR920
chr3	197401367	197401447	81	-	100126321	MIR922
chrX	135633037	135633119	83	+	100126324	MIR934
chr19	54485561	54485651	91	+	100126325	MIR935
chr10	105807847	105807944	98	-	100126326	MIR936
chr10	29891193	29891275	83	-	100126327	MIR938
chr16	2321748	2321841	94	+	100126328	MIR940
chr20	62550778	62551006	229	+	100126329	MIR941-1
chr1	117637265	117637350	86	+	100126331	MIR942
chr4	1988111	1988204	94	-	100126332	MIR943
chr11	79113066	79113153	88	-	100126333	MIR708
chr3	10436173	10436246	74	-	100126334	MIR885
chr14	101498324	101498401	78	+	100126335	MIR543
chr14	23887196	23887272	77	-	100126336	MIR208B
chr8	144895127	144895212	86	-	100126338	MIR937
chr3	189547711	189547798	88	+	100126340	MIR944
chrX	145109312	145109390	79	-	100126341	MIR891A
chrX	145078187	145078261	75	-	100126342	MIR892A
chr5	136983261	136983338	78	-	100126343	MIR874
chr14	101514238	101514316	79	+	100126345	MIR889
chr1	154166141	154166219	79	-	100126346	MIR190B
chr1	94312388	94312467	80	+	100126348	MIR760
chr1	166123980	166124035	56	-	100126349	MIR921
chr2	176032361	176032437	77	-	100126350	MIR933
chr8	145619364	145619445	82	-	100126351	MIR939
chr20	62551085	62551313	229	+	100126352	MIR941-3
chr16	14403142	14403228	87	+	100126355	MIR365A
chr17	29902430	29902540	111	+	100126356	MIR365B
chr19	49540277	49540404	128	+	100126780	SNAR-G1
chr19	51108220	51108342	123	+	100126781	SNAR-F
chr11	19732480	19736218	3739	-	100126784	NAV2-AS6
chr3	4790878	4793274	2397	-	100126791	EGOT
chr3	10320905	10335133	14229	+	100126793	GHRLOS
chr19	48421686	48437559	15874	+	100126798	SNAR-A1
chr19	48410935	48448300	37366	+	100126800	SNAR-A12
chr5	129083884	129100756	16873	+	100127206	MINAR2
chr20	61294379	61297973	3595	-	100127888	SLCO4A1-AS1
chr10	97667722	97698415	30694	+	100127889	NA
chr8	91970706	91997485	26780	-	100127983	C8orf88
chr3	193710883	193712027	1145	-	100128023	DPPA2P3
chr3	149375997	149379149	3153	+	100128025	WWTR1-AS1
chr10	96039047	96046827	7781	-	100128054	PLCE1-AS1
chr1	32826871	32827844	974	-	100128071	FAM229A
chr9	94895116	94900911	5796	+	100128076	LOC100128076
chr7	28220076	28280996	60921	+	100128081	JAZF1-AS1
chr10	17428935	17452630	23696	+	100128098	ST8SIA6-AS1
chr6	168376604	168377619	1016	-	100128124	HGC6.3
chr8	74332309	74353753	21445	+	100128126	STAU2-AS1
chr3	169661772	169684522	22751	-	100128164	LOC100128164
chr6	149275397	149285820	10424	-	100128176	UST-AS1
chr12	98906751	98910004	3254	-	100128191	TMPO-AS1
chr11	133902167	133911236	9070	+	100128239	LINC02731
chr19	56989243	57006805	17563	+	100128252	ZNF667-AS1
chr7	154858779	154863267	4489	-	100128264	HTR5A-AS1
chr15	76020011	76032418	12408	-	100128285	DNM1P35
chr17	8261731	8263859	2129	-	100128288	LOC100128288
chr10	79686570	79689583	3014	+	100128292	DLG5-AS1
chr6	116817651	116866773	49123	-	100128327	TRAPPC3L
chr8	144816310	144828507	12198	+	100128338	NA
chr9	95380332	95382817	2486	+	100128361	LOC100128361
chr3	52096110	52099128	3019	-	100128378	LINC00696
chr9	115867003	115873957	6955	-	100128385	FAM225B
chr19	58514262	58518574	4313	+	100128398	LOC100128398
chrX	135721702	135724588	2887	+	100128420	LINC00892
chr20	18790372	18810839	20468	-	100128496	SCP2D1-AS1
chr9	119266562	119324572	58011	+	100128505	ASTN2-AS1
chr10	21462919	21463852	934	+	100128511	NEBL-AS1
chr22	25498384	25508659	10276	-	100128531	KIAA1671-AS1
chr12	126927027	126957331	30305	+	100128554	LINC02347
chr19	5978414	6020374	41961	+	100128568	RANBP3-DT
chr19	3539155	3544028	4874	+	100128569	TEKTIP1
chr19	7537723	7538247	525	-	100128573	NA
chr2	40144774	40482349	337576	+	100128590	SLC8A1-AS1
chr9	139640613	139644363	3751	+	100128593	LOC100128593
chr8	144077245	144079080	1836	+	100128627	CDC42P3
chr3	38492518	38496311	3794	-	100128640	ACVR2B-AS1
chr19	35549963	35597208	47246	-	100128675	HPN-AS1
chr19	35896509	35907742	11234	+	100128682	LINC01531
chr15	26147507	26298267	150761	+	100128714	LINC02346
chr2	27293342	27294567	1226	-	100128731	OST4
chr8	30239635	30242917	3283	-	100128750	RBPMS-AS1
chr16	3082482	3089133	6652	+	100128770	LOC100128770
chr9	98568370	98638259	69890	-	100128782	ERCC6L2-AS1
chr1	101092606	101112560	19955	-	100128787	LINC01349
chr16	2787077	2802601	15525	-	100128788	SRRM2-AS1
chr10	25447001	25465205	18205	-	100128811	GPR158-AS1
chr7	152161209	152162630	1422	+	100128822	LINC01003
chr16	89778264	89784573	6310	+	100128881	VPS9D1-AS1
chr7	64035073	64078967	43895	+	100128885	LOC100128885
chr8	7143733	7212876	69144	-	100128890	FAM66B
chr18	19746859	19748929	2071	-	100128893	GATA6-AS1
chr14	105266933	105271048	4116	+	100128927	ZBTB42
chr22	49262582	49294198	31617	+	100128946	LINC01310
chr8	19041186	19103032	61847	-	100128993	LOC100128993
chr21	47247755	47256333	8579	-	100129027	PCBP3-AS1
chr9	127115752	127121463	5712	+	100129034	LOC100129034
chr1	94057525	94065587	8063	+	100129046	BCAR3-AS1
chr10	38464599	38503273	38675	+	100129055	CCNYL4
chr9	92254698	92334674	79977	+	100129066	LOC100129066
chr14	56024690	56046810	22121	-	100129075	KTN1-AS1
chr19	51919160	51920679	1520	+	100129083	SIGLEC10-AS1
chr6	73933268	73935175	1908	-	100129128	KHDC1L
chr1	104615645	104619693	4049	+	100129138	LOC100129138
chr7	139102209	139112272	10064	-	100129148	LOC100129148
chr2	219866937	219880444	13508	+	100129175	LOC100129175
chr6	28058454	28105094	46641	-	100129195	ZSCAN16-AS1
chr1	31191619	31199593	7975	+	100129196	MATN1-AS1
chr10	18290715	18299491	8777	-	100129213	SLC39A12-AS1
chr11	71589499	71595607	6109	+	100129216	DEFB131B
chrX	145895622	145896249	628	-	100129239	CXorf51A
chr9	32551142	32566858	15717	+	100129250	SMIM27
chr1	112141629	112150940	9312	-	100129269	LINC01160
chr1	152691998	152692905	908	+	100129271	C1orf68
chr9	93825576	93837414	11839	-	100129316	LOC100129316
chr14	98098984	98152995	54012	-	100129345	LINC02291
chr3	47053032	47054957	1926	+	100129354	NRADDP
chr12	11323780	11328619	4840	+	100129361	SMIM10L1
chr9	16203933	16276311	72379	-	100129385	LINC03041
chr15	50646371	50650503	4133	+	100129387	GABPB1-AS1
chr17	16692057	16693815	1759	+	100129396	FAM106C
chr1	155715559	155720673	5115	+	100129405	MSTO2P
chr7	102781717	102782850	1134	-	100129424	RPL19P12
chr7	50599457	50611161	11705	+	100129427	DDC-AS1
chr7	32620553	32758780	138228	-	100129460	DPY19L1P1
chrX	3189861	3202694	12834	+	100129464	LINC01546
chr3	12581280	12586963	5684	-	100129480	MKRN2OS
chr10	43008961	43048280	39320	-	100129482	ZNF37BP
chrX	134252882	134254405	1524	-	100129515	ETDB
chr6	160181291	160183364	2074	-	100129518	SOD2-OT1
chrX	124453969	124456950	2982	+	100129520	TEX13C
chr1	2281853	2284100	2248	-	100129534	LOC100129534
chr19	23299777	23330017	30241	+	100129543	ZNF730
chr3	122605360	122611263	5904	+	100129550	LINC02035
chr4	77135193	77204936	69744	+	100129583	FAM47E
chr13	49151110	49155037	3928	-	100129597	LINC00462
chr16	81698959	81700879	1921	+	100129617	LOC100129617
chr1	99469832	99614408	144577	+	100129620	PLPPR5-AS1
chr8	67858736	67874825	16090	-	100129654	TCF24
chrX	137794269	137798763	4495	+	100129662	FGF13-AS1
chr9	24543213	24545674	2462	-	100129669	IZUMO3
chr5	90676164	90716532	40369	+	100129716	ARRDC3-AS1
chr9	140144671	140147949	3279	-	100129722	STPG3-AS1
chr2	43454350	43455994	1645	+	100129726	LINC01126
chr5	42756920	42802539	45620	+	100129792	CCDC152
chr14	37641231	37642998	1768	+	100129794	SLC25A21-AS1
chr11	10562783	10621479	58697	+	100129827	IRAG1-AS1
chr19	20720798	20748626	27829	-	100129842	ZNF737
chr7	100187024	100201661	14638	-	100129845	PCOLCE-AS1
chr4	141204880	141294546	89667	-	100129858	SCOC-AS1
chr4	773937	775636	1700	-	100129917	PCGF3-AS1
chr1	43253661	43263901	10241	+	100129924	TMEM269
chr4	7032281	7047958	15678	-	100129931	LOC100129931
chr19	40129325	40133041	3717	+	100129935	LOC100129935
chr2	135624203	135676176	51974	-	100129961	CCNT2-AS1
chr15	52472223	52498076	25854	+	100129973	CERNA1
chrX	48660287	48683380	23094	+	10013	HDAC6
chr1	143687130	143714180	27051	+	100130000	NA
chr16	90106169	90114191	8023	-	100130015	URAHP
chr4	69048010	69078188	30179	+	100130017	FTLP10
chr12	69198217	69199274	1058	-	100130075	LOC100130075
chr1	227916240	227922055	5816	+	100130093	NA
chr8	65285775	65295842	10068	+	100130155	MIR124-2HG
chr1	47139708	47157769	18062	+	100130197	EFCAB14-AS1
chr8	126934767	126963441	28675	-	100130231	LINC00861
chr12	132851977	132857486	5510	+	100130238	LOC100130238
chr20	19222946	19265240	42295	-	100130264	SLC24A3-AS1
chr8	144788864	144790279	1416	-	100130274	CCDC166
chr6	10412551	10416402	3852	+	100130275	TFAP2A-AS1
chr8	61878680	61880307	1628	-	100130298	LOC100130298
chr8	74153659	74171737	18079	-	100130301	C8orf89
chrX	24380878	24383541	2664	+	100130302	SUPT20HL1
chr17	4802948	4806227	3280	+	100130311	C17orf107
chr1	238025475	238091619	66145	+	100130331	LOC100130331
chr19	35136778	35136957	180	+	100130342	SCGB2B3P
chr11	64855844	64856542	699	-	100130348	TMEM262
chr6	13279527	13295818	16292	-	100130357	LOC100130357
chr17	79349699	79359160	9462	-	100130370	LINC03048
chr13	114451484	114454062	2579	-	100130386	LINC00552
chr1	852953	854817	1865	-	100130417	LINC02593
chr22	17517460	17539682	22223	+	100130418	CECR7
chr2	241388836	241396117	7282	-	100130449	GPC1-AS1
chr2	214141277	214148929	7653	-	100130451	SPAG16-DT
chr2	197565359	197577736	12378	-	100130452	LOC100130452
chr6	138144807	138189370	44564	-	100130476	WAKMAR2
chr18	6511415	6590652	79238	+	100130480	LINC01387
chr19	17546318	17559376	13059	-	100130519	TMEM221
chr18	77905807	77936315	30509	+	100130522	PARD6G-AS1
chr10	44788198	44790097	1900	+	100130539	LINC02881
chr1	41154752	41157933	3182	-	100130557	NFYC-AS1
chr17	41447213	41466266	19054	-	100130581	LINC00910
chrX	125953747	125955768	2022	+	100130613	PRR32
chr7	32496510	32498106	1597	-	100130673	LOC100130673
chr2	178148242	178257419	109178	-	100130691	LOC100130691
chr16	34739459	34740840	1382	-	100130700	TP53TG3HP
chr7	128506464	128512101	5638	+	100130705	ATP6V1FNB
chr22	17640279	17646335	6057	+	100130717	HDHD5-AS1
chr5	61874562	61877275	2714	+	100130733	LRRC70
chr8	92114847	92231464	116618	+	100130742	LRRC69
chr5	14712803	14716638	3836	+	100130744	LOC100130744
chr7	105205580	105221976	16397	-	100130771	EFCAB10
chr12	58120023	58122139	2117	+	100130776	AGAP2-AS1
chr19	56052023	56056909	4887	-	100130827	SBK3
chr7	56943078	56949839	6762	-	100130849	LOC100130849
chr15	63879909	63893026	13118	-	100130855	USP3-AS1
chr4	1189571	1202750	13180	-	100130872	LOC100130872
chr7	137638094	137642712	4619	+	100130880	CREB3L2-AS1
chr6	99968870	100033084	64215	+	100130890	TSTD3
chr16	70788963	70807154	18192	+	100130894	VAC14-AS1
chr22	40428336	40432581	4246	+	100130899	NA
chr17	73642646	73644057	1412	+	100130933	SMIM6
chr20	45085132	45086282	1151	-	100130934	ZNF663P
chrX	151895978	151903184	7207	-	100130935	CSAG4
chr17	5095379	5138931	43553	+	100130950	ZNF594-DT
chr9	138466771	138478958	12188	+	100130954	LINC01502
chr16	77233349	77246976	13628	+	100130958	SYCE1L
chr8	39420631	39437653	17023	+	100130964	LOC100130964
chr6	159309619	159331385	21767	+	100130967	LINC02901
chr11	67085310	67159158	73849	+	100130987	LOC100130987
chr7	50135682	50198852	63171	+	100130988	SPATA48
chr10	22541001	22547477	6477	+	100130992	LOC100130992
chr6	38874271	38920883	46613	-	100131047	DNAH8-AS1
chr1	59250823	59365384	114562	+	100131060	LINC01135
chr5	80533384	80597388	64005	-	100131067	CKMT2-AS1
chr15	40331512	40359710	28199	+	100131089	SRP14-DT
chr19	4679294	4685960	6667	+	100131094	DPP9-AS1
chr17	76103483	76107880	4398	-	100131096	NA
chr3	114070658	114107825	37168	+	100131117	ZBTB20-AS1
chr19	48471303	48495427	24125	-	100131137	BSPH1
chr12	111374406	111375250	845	+	100131138	LINC01405
chr7	151106322	151110132	3811	+	100131176	WDR86-AS1
chr1	161007422	161008774	1353	-	100131187	TSTD1
chr9	139698379	139703300	4922	-	100131193	CCDC183-AS1
chr20	10004460	10200154	195695	-	100131208	SNAP25-AS1
chr2	191371619	191399468	27850	-	100131211	NEMP2
chr10	77161286	77168740	7455	+	100131213	ZNF503-AS2
chr1	198777132	198906558	129427	-	100131234	MIR181A1HG
chr15	40573645	40574787	1143	-	100131244	ANKRD63
chr7	7115401	7136417	21017	-	100131257	LOC100131257
chr6	27729523	27730966	1444	+	100131289	LOC100131289
chr2	130724165	130738045	13881	-	100131320	RAB6C-AS1
chr17	37213272	37264608	51337	+	100131347	RDM1P5
chr14	103653558	103655365	1808	-	100131366	LINC00605
chr11	33719654	33722286	2633	-	100131378	C11orf91
chr2	175199821	175202268	2448	+	100131390	SP9
chrX	148609132	148622504	13373	-	100131434	EOLA1-DT
chr17	72576111	72588370	12260	-	100131439	CD300LD
chr17	655573	658576	3004	+	100131454	DBIL5P
chr20	45947246	45949498	2253	+	100131496	LOC100131496
chr3	194017424	194030593	13170	-	100131551	LINC00887
chr13	100003674	100004281	608	+	100131561	FKSG29
chr1	93775666	93811368	35703	-	100131564	CCDC18-AS1
chr11	118251935	118289530	37596	-	100131626	LOC100131626
chr3	187420154	187450203	30050	+	100131635	LOC100131635
chr18	74506688	74534251	27564	-	100131655	ZNF236-DT
chr19	59070553	59086164	15612	+	100131691	MZF1-AS1
chr8	124213412	124214983	1572	-	100131726	FAM83A-AS1
chr12	109489846	109491770	1925	-	100131733	USP30-AS1
chrX	100740241	100754031	13791	+	100131755	ARMCX4
chr19	7694671	7696510	1840	+	100131801	PET100
chr6	135818939	136037193	218255	+	100131814	AHI1-DT
chrX	84189157	84189896	740	+	100131816	UBE2DNL
chr1	159165775	159172212	6438	-	100131825	CADM3-AS1
chr3	75758794	75834670	75877	-	100131827	ZNF717
chr5	169290719	169407744	117026	-	100131897	INSYN2B
chr21	31661463	31661832	370	-	100131902	KRTAP25-1
chr8	7215498	7220490	4993	-	100131980	ZNF705G
chr16	22430867	22449036	18170	-	100131998	RRN3P3
chr9	97094758	97123230	28473	+	100132077	LOC100132077
chr11	111284967	111288911	3945	-	100132078	LOC100132078
chr15	23390722	23393943	3222	+	100132101	HERC2P7
chr8	7812535	7866277	53743	+	100132103	FAM66E
chr1	151810945	151816641	5697	+	100132111	C2CD4D-AS1
chr3	46653925	46668033	14109	+	100132146	FAM240A
chrX	18908414	18913093	4680	+	100132163	PHKA2-AS1
chr2	63271100	63275656	4557	-	100132215	EHBP1-AS1
chr16	22503062	22547841	44780	+	100132247	NPIPB5
chr22	42486937	42532702	45766	+	100132273	NDUFA6-DT
chr19_gl000209_random	115099	145745	30647	+	100132285	KIR2DS2
chr21	9907189	9968593	61405	-	100132288	TEKT4P2
chr16	31711934	31718745	6812	+	100132341	CLUHP3
chr9	68726541	68767301	40761	+	100132352	FRG1HP
chr6	43858765	43905944	47180	+	100132354	LINC01512
chr5	43065289	43067073	1785	-	100132356	LOC100132356
chr17	39261641	39262740	1100	+	100132386	KRTAP4-9
chr8	7783859	7809935	26077	+	100132396	ZNF705B
chrX	49296769	49351917	55149	+	100132399	GAGE12D
chr9	141106637	141134172	27536	+	100132403	FAM157B
chr1	145209111	146467744	1258634	+	100132406	NBPF10
chr1	149369294	149378297	9004	+	100132417	FCGR1CP
chr4	184242917	184243579	663	-	100132463	CLDN24
chr11	1704500	1706859	2360	-	100132464	FAM99B
chr17	39240459	39241396	938	+	100132476	KRTAP4-7
chr3	13974553	13978444	3892	+	100132526	FGD5P1
chr12	96043031	96067770	24740	+	100132594	PGAM1P5
chrY	2620337	2655675	35339	+	100132596	XGY2
chr1	71512189	71532865	20677	+	100132618	ZRANB2-AS1
chr3	49586739	49591799	5061	-	100132677	BSN-DT
chr7	154720227	154741196	20970	+	100132707	PAXIP1-AS2
chr2	131437623	131449262	11640	+	100132708	CYP4F30P
chr15	51236326	51238762	2437	+	100132724	DCAF13P3
chr6	140092210	140181608	89399	+	100132735	FILNC1
chr1	44165356	44173012	7657	-	100132774	KDM4A-AS1
chr9	99631182	99634510	3329	+	100132781	LOC100132781
chrX	40690470	40692449	1980	-	100132831	TNIP2P1
chr7	76668797	76682355	13559	+	100132832	PMS2P9
chr8	72755358	72968547	213190	+	100132891	MSC-AS1
chr20	61476476	61477543	1068	+	100132911	DPH3P1
chr5	63986135	64014017	27883	+	100132916	SHISAL2B
chr8	11973291	12008698	35408	+	100132923	FAM66D
chr9	44990236	44991492	1257	+	100132948	FAM27C
chrX	154051623	154062937	11315	-	100132963	SMIM9
chr15	22702285	22715728	13444	-	100132979	GOLGA8DP
chr10	80008382	80311112	302731	+	100132987	LINC00856
chr5	99715209	99723958	8750	-	100133050	GUSBP19
chrX	145891302	145891929	628	+	100133053	CXorf51B
chr7	76178658	76257299	78642	+	100133091	LINC03009
chr9	67792929	67794189	1261	-	100133121	FAM27B
chrX	13353360	13359944	6585	+	100133123	LINC01203
chr15	82647286	83084729	437444	+	100133144	NA
chr11	126987	139152	12166	-	100133161	LINC01001
chr8	12219528	12279970	60443	+	100133172	FAM66A
chr6	26924772	26991753	66982	+	100133205	LINC00240
chr8	56361757	56367881	6125	-	100133234	SBF1P1
chr21	37441940	37498938	56999	-	100133286	CBR1-AS1
chr10	45594924	45650044	55121	-	100133308	RSU1P2
chr7	27179983	27195547	15565	+	100133311	HOXA-AS3
chr11	71576555	71639493	62939	-	100133315	XNDC1N
chr1	2486163	2488450	2288	-	100133445	NA
chr4	3675320	3679582	4263	-	100133461	LINC02171
chr11	2004439	2011150	6712	-	100133545	MRPL23-AS1
chr1	3816968	3833879	16912	+	100133612	LINC01134
chr8	144063448	144099807	36360	-	100133669	LY6E-DT
chr9	69651361	69664949	13589	+	100133920	LOC100133920
chrY	21152526	21154705	2180	-	100133941	CD24
chrX	47518232	47519776	1545	+	100133957	UXT-AS1
chr2	70351168	70352448	1281	-	100133985	LINC01816
chr17	43325303	43345997	20695	+	100133991	MAP3K14-AS1
chr20	3087557	3131513	43957	+	100134015	UBOX5-AS1
chr7	139877061	139879440	2380	+	100134229	KDM7A-DT
chr2	47055003	47086145	31143	+	100134259	LINC01119
chr19	36802245	36803570	1326	+	100134317	LOC100134317
chr16	432241	442960	10720	+	100134368	LOC100134368
chr7	140395136	140396877	1742	-	100134713	NDUFB2-AS1
chr20	25990435	26002430	11996	+	100134868	LOC100134868
chr15	82647286	83084341	437056	+	100134869	UBE2Q2P2
chr15	42120283	42132428	12146	+	100137047	JMJD7
chr15	42128979	42140346	11368	+	100137049	PLA2G4B
chr17	42154121	42201014	46894	-	10014	HDAC5
chr17	76142434	76162364	19931	+	100141515	C17orf99
chr2	155292365	155313950	21586	-	100144595	LOC100144595
chr20	61665569	61668380	2812	-	100144596	LINC00029
chr20	61669363	61685215	15853	+	100144597	LINC01056
chr4	66535679	66559104	23426	+	100144602	EPHA5-AS1
chr22	51021455	51022355	901	+	100144603	CHKB-DT
chr15	93111048	93115493	4446	-	100144604	LINC00930
chr10	89618918	89623194	4277	-	100144748	KLLN
chr3	33840063	33911199	71137	+	10015	PDCD6IP
chr21	31992946	31993169	224	+	100151643	KRTAP20-4
chr2	122288456	122288585	130	+	100151683	RNU4ATAC
chr9	137029562	137029686	125	-	100151684	RNU6ATAC
chrX	20154184	20154531	348	-	100158262	SCARNA9L
chr5	271736	315089	43354	+	10016	PDCD6
chr10	127262940	127267014	4075	+	100169752	TEX36-AS1
chr11	125658006	125661495	3490	+	100169851	PATE3
